rate_case,hours,q_pond1_m3s,q_pond2_m3s,pond1_level_mRL,pond2_level_mRL,volume_dewatered_m3,pond1_to_pond2_m3,pond2_peak_level_unbreached_mRL,pond2_equalised_level_mRL,trigger_mRL,cascade,effective_trigger_mRL,peak_Q_m3s,volume_released_m3,t_init_h,time_to_peak_h
low,0.0,4.0,11.0,226.5,222.8,0.0,1006713.8616,224.155,223.8269,223.6,True,223.6,2098.0997,7182606.9989,2.1717,3.3125
low,1.0,4.0,11.0,226.452,222.7449,54000.0,992207.5932,224.0843,223.774,223.6,True,223.6,2088.4314,7128263.8834,2.3742,3.515
low,2.0,4.0,11.0,226.4038,222.6897,108000.0,977699.3272,224.0133,223.7209,223.6,True,223.6,2079.0702,7073830.9853,2.6264,3.7672
low,3.0,4.0,11.0,226.3556,222.6344,162000.0,963189.0049,223.9421,223.6678,223.6,True,223.6,2070.0798,7019241.2121,2.9522,4.0931
low,4.0,4.0,11.0,226.3072,222.5788,216000.0,948676.5656,223.8706,223.6144,223.6,True,223.6,2061.5365,6964345.2737,3.3936,4.5344
low,6.0,4.0,11.0,226.2103,222.4674,324000.0,919645.0801,223.7271,223.5074,223.6,True,223.6,2046.3249,6850828.7139,5.1033,6.2442
low,8.0,4.0,11.0,226.1129,222.3553,432000.0,890604.3339,223.5825,223.3998,223.6,False,223.6,0.0,0.0,,
low,12.0,4.0,11.0,225.9169,222.1294,648000.0,832492.6923,223.2906,223.1831,223.6,False,223.6,0.0,0.0,,
low,18.0,4.0,11.0,225.6199,221.7858,972000.0,745239.6423,222.845,222.8538,223.6,False,223.6,0.0,0.0,,
low,24.0,4.0,11.0,225.3189,221.4362,1296000.0,657864.2896,222.3897,222.4194,223.6,False,223.6,0.0,0.0,,
high,0.0,5.0,15.0,226.5,222.8,0.0,1006713.8616,224.155,223.8269,223.6,True,223.6,2098.0997,7182606.9989,2.1717,3.3125
high,1.0,5.0,15.0,226.4399,222.7249,72000.0,988580.7162,224.0606,223.7563,223.6,True,223.6,2085.2827,7110143.7931,2.4519,3.5928
high,2.0,5.0,15.0,226.3797,222.6495,144000.0,970444.4268,223.9659,223.6855,223.6,True,223.6,2073.0465,7037485.971,2.8336,3.9744
high,3.0,5.0,15.0,226.3193,222.5738,216000.0,952304.8773,223.8707,223.6144,223.6,True,223.6,2061.5534,6964383.0627,3.3933,4.5342
high,4.0,5.0,15.0,226.2588,222.4979,288000.0,934161.9459,223.7751,223.5431,223.6,True,223.6,2051.0668,6889904.383,4.3258,5.4667
high,6.0,5.0,15.0,226.1373,222.3451,432000.0,897865.4196,223.5826,223.3998,223.6,False,223.6,0.0,0.0,,
high,8.0,5.0,15.0,226.0151,222.1913,576000.0,861553.7472,223.3885,223.2556,223.6,False,223.6,0.0,0.0,,
high,12.0,5.0,15.0,225.7689,221.8801,864000.0,788879.9817,222.9948,222.9641,223.6,False,223.6,0.0,0.0,,
high,18.0,5.0,15.0,225.3945,221.4041,1296000.0,679720.9823,222.3901,222.4194,223.6,False,223.6,0.0,0.0,,
high,24.0,5.0,15.0,225.014,220.9165,1728000.0,570339.2722,221.767,221.7993,223.6,False,223.6,0.0,0.0,,
